Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
1975.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00
1976.00,148.00,148.00,148.00,148.00,148.00,148.00,148.00,148.00
1977.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00
1978.00,179.00,179.00,179.00,179.00,179.00,179.00,179.00,179.00
1979.00,192.00,192.00,192.00,192.00,192.00,192.00,192.00,192.00
1980.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00
1981.00,237.00,237.00,237.00,237.00,237.00,237.00,237.00,237.00
1982.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00
1983.00,288.00,288.00,288.00,288.00,288.00,288.00,288.00,288.00
1984.00,311.00,311.00,311.00,311.00,311.00,311.00,311.00,311.00
1985.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00
1986.00,356.00,356.00,356.00,356.00,356.00,356.00,356.00,356.00
1987.00,394.00,373.00,363.00,371.00,379.00,357.00,441.00,464.00
1988.00,412.00,400.00,386.00,387.00,411.00,392.00,442.00,487.00
1989.00,420.00,420.00,420.00,420.00,460.00,420.00,500.00,540.00
1990.00,460.00,460.00,420.00,460.00,460.00,460.00,500.00,540.00
1991.00,,,,,,,,
1992.00,500.00,500.00,500.00,500.00,500.00,500.00,540.00,580.00
1993.00,540.00,540.00,500.00,500.00,540.00,500.00,540.00,620.00
1994.00,540.00,540.00,500.00,540.00,540.00,500.00,580.00,620.00
1995.00,580.00,540.00,540.00,540.00,540.00,540.00,540.00,660.00
1996.00,,,,,,,,
1997.00,600.00,600.00,590.00,585.00,600.00,560.00,650.00,716.60
1998.00,649.40,600.00,600.00,580.00,601.00,575.00,660.30,750.00
1999.00,689.20,650.00,600.00,610.00,686.50,596.30,695.10,756.40
2000.00,700.00,700.00,650.00,650.00,685.00,625.40,749.60,846.00
2001.00,740.00,700.00,675.00,690.00,700.00,650.00,708.50,828.20
2002.00,760.00,742.00,700.00,700.00,750.00,667.10,782.50,864.90
2003.00,800.00,769.00,731.60,745.50,788.50,700.00,750.00,903.90
2004.00,811.10,800.00,750.00,750.00,800.00,734.70,850.00,955.70
2005.00,865.00,848.00,800.00,800.00,850.00,750.00,850.00,1000.00
2006.00,900.00,897.00,849.60,850.00,900.00,807.00,900.00,1059.90
2007.00,957.50,923.30,900.00,900.00,999.50,808.00,962.80,1200.00
2008.00,1000.00,958.00,961.00,900.00,1053.40,867.10,1000.00,1194.70
2009.00,1025.50,1000.00,1000.00,966.00,1100.00,925.40,1100.00,1230.70
2010.00,1078.20,1005.00,1023.60,995.00,1200.00,950.00,1100.00,1250.00
2011.00,1100.00,1050.00,1100.00,1000.00,1200.00,1000.00,1129.80,1269.10
2012.00,1150.00,1100.00,1116.60,1080.00,1300.00,1008.30,1196.20,1384.60
2013.00,1157.00,1100.00,1140.00,1100.00,1300.00,1016.00,1300.00,1426.30
2014.00,1250.00,1173.00,1200.00,1139.80,1401.90,1065.20,1400.00,1461.70
2015.00,1250.00,1199.60,1200.00,1183.10,1356.60,1100.00,1269.60,1500.00
2016.00,1250.00,1246.00,1200.00,1200.00,1400.00,1150.00,1385.00,1498.10
2017.00,1281.00,1250.00,1250.00,1198.60,1422.20,1182.20,1400.00,1500.00
2018.00,1356.60,1300.00,1300.00,1240.80,1496.30,1201.70,1368.00,1518.90
2019.00,1400.00,1340.20,1304.00,1251.60,1500.00,1265.00,1450.00,1549.50
2020.00,1425.00,1426.90,1346.00,1291.00,1634.00,1300.00,1474.50,1632.00
2021.00,1500.00,1477.00,1400.00,1392.60,1572.00,1282.10,1574.80,1716.70
2022.00,1500.00,1520.00,1500.00,1400.00,1650.00,1350.00,1600.00,1747.00
2023.00,1610.00,1599.90,1547.00,1500.00,1700.00,1497.00,1600.00,1745.20
