Year,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
1970,18700,12800,,,17500,,,
1971,21200,13400,,11900,17750,11875,,18000
1972,23700,15000,,13225,17500,12600,,20350
1973,27400,19800,17500,16250,18850,15200,,26850
1974,31800,25500,21500,22200,18850,20500,,32000
1975,34300,28700,23700,26150,24500,25850,,33600
1976,36800,32900,26275,29800,33000,31575,,35100
1977,39200,37000,28600,32600,36400,34500,,36700
1978,43200,37600,29975,33100,38575,34000,,37300
1979,50700,38000,31450,33750,38600,34750,,39000
1980,68850,39500,35475,36000,40350,36250,,44675
1981,78900,44000,45325,39100,43825,37100,,57750
1982,79425,46750,55125,42850,48225,40325,,59025
1983,81425,52500,55525,47950,49000,42500,,68150
1984,85900,65000,58950,61250,48175,44750,,84250
1985,88350,75200,61550,72200,52050,55500,,90625
1986,98325,82000,63000,73500,58000,56725,87500,91175
1987,120025,89500,63500,74500,61225,63450,81075,90125
1988,141000,109000,71000,80400,78000,67950,86000,101250
1989,170850,132000,96000,90400,102500,77325,90750,115000
1990,194000,131000,113000,97200,101125,82000,101500,120750
1991,182000,127000,120000,103900,99500,89650,111550,136500
1992,183300,125000,129000,108300,102500,95825,126125,155250
1993,188000,126000,136500,111200,112750,104250,150500,159375
1994,192375,130000,143000,113500,123125,110500,157875,160850
1995,196750,129000,147000,111500,126788,106750,165375,155550
1996,211125,131000,148000,110000,126625,108000,164250,152375
1997,233250,142000,150000,113500,134125,108750,176500,152750
1998,248750,155000,159500,118600,141000,107250,173500,155500
1999,272500,175000,161000,127000,147500,112225,179375,161500
2000,287000,191000,170000,135000,156250,117750,186800,180825
2001,322500,225000,178700,150000,168375,120575,188000,206250
2002,395687.5,259750,199200,179625,192250,130112.5,196537.5,250700
2003,463937.5,284562.5,253300,226550,218375,166412.5,210479,318021
2004,509000,308875,305675,259625,264000,223075,248075,368625
2005,494000,320500,314725,274000,311250,246875,292500,375050
2006,486750,345250,333375,289000,426250,269500,357750,404575
2007,511575,371750,383000,328250,473750,291625,400750,450750
2008,490500,388750,414750,360000,447500,301500,429325,460250
2009,508250,418625,426250,371325,468000,316650,482500,469875
2010,603375,494075,461250,405500,507000,344825,534750,527675
2011,566750,492375,438750,392500,483750,335125,505500,513250
2012,608125,487750,435000,387000,498375,329200,542375,501000
2013,670000,516750,449750,399250,530250,336250,554750,505825
2014,738500,522600,456250,411750,529125,350375,575875,556925
2015,863925,569575,473200,424750,529625,355000,580000,591875
2016,907625,614500,498375,442000,518250,371750,540000,616200
2017,989750,704875,522000,455575,507750,401375,510950,670500
2018,954525,734000,534500,469825,498500,453025,504000,702125
2019,913000,712500,540250,478125,485750,490000,478500,706500
2020,967375,735000,554250,493450,494375,537375,488750,746075
2021,1217500,923750,679925,584325,545000,668600,569575,930875
2022,1508181.5,1055969.25,826677.25,777688.75,646815.5,742844.5,637532,1117350
2023,1539212.25,1034174.25,843413.75,832783.75,704115,699534,638723,1041555.25
